id,Text,Polarity,reply
21094,এটা কিনে শোকেসে সাজায়ে রাখতে চাই । নষ্ট হবেনা তো ? নাতি পুতিদের গল্প শুনাতে হবে তাই ।,1,"ওহ হ্যাঁ, অবশ্যই নাতি পুতিরা খুশি হয়ে উঠবে তো! বল্লিওদা সমস্যা নেই।"
21095,মার্কেট ত খোলা ওখানে থেকে ভার্সিটি ক্লাস করা যাবে,1,"ওহ বল না, এতো সুন্দর আইডিয়া! শত্রুদের বাড়িতেই ক্লাস শুরু করি, বেশি কি চাইবে? 😂"
21096,নামায আদায়ে বাংলাদেশ টাইম ইফতারি সেহেরি তেও বাংলাদেশ টাইম ঈদের বেলায় সৌদি আরব বাহ বাঙালী বাহ,1,ওহো! আমি দেখি আপনি বিভাজনবাদে অতিরিক্ত শক্তি পেয়েছেন। তাইও সপ্তাহের দিনগুলোতে পর
21097,টাকা থাকুক কি না থাকুক তুমি চুলের ছেলিবিরিটি,1,"একটা শপথ নিয়ে নিলাম থাকবো না। একদিন যদি আমার চুলের ছেলিবিরিটি থাকে, তবে আমি জয় কর"
21098,জোড়া না লাগাতে পারলেও জোড়া ফাটাতে পারবে আর যদি জোড়া লাগাতেই হয় তাহলে তো ফেবিকুইক তো আছেই মাত্র পাঁচ টাকা দিয়ে নিয়ে আসুন আর ফটাফট জোড়া লাগিয়ে নিন নিজের সুন্দর সংসার,1,"আমি কি কখনো বলেছি আপনাকে জোড়া দিয়ে ফেবিকুইক কিনতে হবে? তাই না, আপনি নিজেই ফটাফট"
21101,বর্তমান লকডাউন টা ঠিক তোমার ছবিটির মত দেশে লকডাউন আছে কিন্তু জনগন ঠিকি আগের মতই চলাফেরা করছে ঠিক তুমিও ড্রেস পড়েছো কিন্তু প্রতিবারের মতো এভারো জাইংগা দেখাইতে ভুলোনি,1,"হা, মাঝে মাঝে হাসিতে পারি! যদি সবাই তোমার মতো পড়ে মারতে হয়, তাহলে শুধু তুমি ছবিতে ন"
21102,তাহলে পোশাক না পরলেই পার । আমরা দেখলাম,1,ওহো! আপনি আবারও একটা আদর্শ মানুষের মতো মনে হচ্ছেন। অসহ্য হয়ে যায় না কি এমন হ
21103,আমাকে রেখে ! ঈগল এর সাথে হানিমুন করতেছো !,1,"যাচ্ছে সস্তে ইগল বিক্রির অফার? আমিও দেখতে পাইনা আমার মনে, তাই পাল্টানোর চেষ্টা করছি!"
21105,এইসব পোষ্টে অনেকের রোজা হালকা হয় বুঝেন না?,1,"আমি তো বুঝছি, আপনি মনে করছেন কারো রোজা হালকা হলে সেই মানুষ কি অবশ্যই এইসব পো"
21108,পিকটা অনেক মূল্যবান ! এইরকম পিক এখন বিলুপ্তপ্রায় এইরকম পিক দেয়ার জন্য আপনাকে জাদুঘরে রাখা উচিৎ,1,"জাদুঘরে রাখা দরকার নেই, ব্যবহার করতে হলেই দরকার হবে না। শুধুমাত্র মূল্যবান পিকট"
21110,চট্টগ্রাম থেকে ঢাকাতে গাঞ্জা আসার জন্য স্পেশাল ট্রেন হবে বদি স্পেশাল ট্রেন । ট্রেন মন্ত্রী,1,"আচ্ছা, কিন্তু মন্ত্রী ও ট্রেনের কাছে কি আপনাকে বিশেষ সেবা দেওয়ার জন্য লাগছে? মাথায় হাঁ"
21113,হয়ে গেলেন বার ভাতারি !,1,আবার কি কোনো মজার কাহিনী শোনার জন্য বলছেন?
21118,সত্য বেশি মিথ্যা কম প্রথম আলো পত্রিকা । আপনাদের তেল মারছি ! আমার কমেন্টের স্কিনসট নিয়ে পত্রিকায় দিয়েন ।,1,"ওহো! তবে আপনি তো নিজেই বলছেন, সত্যকে অনেক কম দেখেন। হ্যাঁ, আমি অবশ্যই তেল মারছি"
